"Kod","Miejscowość","Dzielnica","Ulica","Numery","Gmina","Powiat","Województwo"
"92-103","Łódź","Widzew","Śnieżna","","Łódź","Łódź","łódzkie"
"91-855","Łódź","Bałuty","Łagiewnicka","63-113(n)","Łódź","Łódź","łódzkie"
"91-305","Łódź","Bałuty","Zgierska","108-120(p)","Łódź","Łódź","łódzkie"
"93-460","Łódź","Górna","Rozewie","","Łódź","Łódź","łódzkie"
"93-181","Łódź","Górna","Suwalska","1-13(n), 2-8a(p)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-496","Łódź","Bałuty","Borówkowa","","Łódź","Łódź","łódzkie"
"91-017","Łódź","Bałuty","Kasprzaka Marcina","65-DK","Łódź","Łódź","łódzkie"
"90-451","Łódź","Śródmieście","Piotrkowska","197-227(n)","Łódź","Łódź","łódzkie"
"92-305","Łódź","Widzew","Adamieckiego Karola","","Łódź","Łódź","łódzkie"
"92-410","Łódź","Widzew","Janowska","","Łódź","Łódź","łódzkie"
"93-359","Łódź","Górna","Okienna","","Łódź","Łódź","łódzkie"
"94-223","Łódź","Polesie","Partyzantów","","Łódź","Łódź","łódzkie"
"94-048","Łódź","Polesie","Szermiercza","","Łódź","Łódź","łódzkie"
"92-318","Łódź","Widzew","Piłsudskiego Józefa Al. (Marszałka Józefa Piłsudskiego)","125-141(n)","Łódź","Łódź","łódzkie"
"92-120","Łódź","Widzew","Śpiących Rycerzy","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-110","Łódź","Bałuty","Łanowa","22-32(p), 83-113(n)","Łódź","Łódź","łódzkie"
"91-490","Łódź","Bałuty","Zgierska","145-199(n)","Łódź","Łódź","łódzkie"
"93-481","Łódź","Górna","Rozległa","","Łódź","Łódź","łódzkie"
"93-435","Łódź","Górna","Swobodna","","Łódź","Łódź","łódzkie"
"91-529","Łódź","Bałuty","Boruty","","Łódź","Łódź","łódzkie"
"91-503","Łódź","Bałuty","Kasztelańska","16-DK(p), 57-DK(n)","Łódź","Łódź","łódzkie"
"90-270","Łódź","Śródmieście","Piotrkowska","2-12(p)","Łódź","Łódź","łódzkie"
"92-537","Łódź","Widzew","Adwentowicza Karola","10-DK(p)","Łódź","Łódź","łódzkie"
"92-309","Łódź","Widzew","Jelenia","","Łódź","Łódź","łódzkie"
"93-367","Łódź","Górna","Okręgowa","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"94-209","Łódź","Polesie","Perla Feliksa","1-9(n), 2","Łódź","Łódź","łódzkie"
"94-117","Łódź","Polesie","Sztormowa","","Łódź","Łódź","łódzkie"
"90-330","Łódź","Widzew","Piłsudskiego Józefa Al. (Marszałka Józefa Piłsudskiego)","52-78(p)","Łódź","Łódź","łódzkie"
"92-735","Łódź","Widzew","Śródziemnmorska","","Łódź","Łódź","łódzkie"
"91-726","Łódź","Bałuty","Łomnicka","","Łódź","Łódź","łódzkie"
"91-446","Łódź","Bałuty","Zgierska","1-61(n)","Łódź","Łódź","łódzkie"
"93-463","Łódź","Górna","Rozwojowa","","Łódź","Łódź","łódzkie"
"93-014","Łódź","Górna","Szara","","Łódź","Łódź","łódzkie"
"91-120","Łódź","Bałuty","Boryny Macieja","","Łódź","Łódź","łódzkie"
"91-865","Łódź","Bałuty","Kasztelańska","2-14(p)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"90-360","Łódź","Śródmieście","Piotrkowska","224-250(p)","Łódź","Łódź","łódzkie"
"92-532","Łódź","Widzew","Adwentowicza Karola","1-15(n)","Łódź","Łódź","łódzkie"
"92-711","Łódź","Widzew","Jemiołowa","","Łódź","Łódź","łódzkie"
"93-487","Łódź","Górna","Opałowa","","Łódź","Łódź","łódzkie"
"94-248","Łódź","Polesie","Perłowa","","Łódź","Łódź","łódzkie"
"94-282","Łódź","Polesie","Świąteczna","","Łódź","Łódź","łódzkie"
"92-322","Łódź","Widzew","Piłsudskiego Józefa Al. (Marszałka Józefa Piłsudskiego)","81-85(n)","Łódź","Łódź","łódzkie"
"92-117","Łódź","Widzew","Tadeusza","","Łódź","Łódź","łódzkie"
"91-491","Łódź","Bałuty","Łucji","","Łódź","Łódź","łódzkie"
"91-346","Łódź","Bałuty","Zgierska","176","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-348","Łódź","Górna","Równa","","Łódź","Łódź","łódzkie"
"93-420","Łódź","Górna","Szczera","","Łódź","Łódź","łódzkie"
"91-747","Łódź","Bałuty","Boya-Żeleńskiego Tadeusza","1-15(n)","Łódź","Łódź","łódzkie"
"91-849","Łódź","Bałuty","Kaufmana Mieczysława","","Łódź","Łódź","łódzkie"
"90-456","Łódź","Śródmieście","Piotrkowska","229-263(n)","Łódź","Łódź","łódzkie"
"92-534","Łódź","Widzew","Adwentowicza Karola","17-23(n)","Łódź","Łódź","łódzkie"
"92-015","Łódź","Widzew","Jesienna","","Łódź","Łódź","łódzkie"
"93-155","Łódź","Górna","Orkana Władysława","","Łódź","Łódź","łódzkie"
"94-003","Łódź","Polesie","Piaski","","Łódź","Łódź","łódzkie"
"91-072","Łódź","Polesie","Świętego Jerzego","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"92-332","Łódź","Widzew","Piłsudskiego Józefa Al. (Marszałka Józefa Piłsudskiego)","87-123(n)","Łódź","Łódź","łódzkie"
"92-548","Łódź","Widzew","Tansmana Aleksandra","","Łódź","Łódź","łódzkie"
"91-528","Łódź","Bałuty","Łupkowa","1-4","Łódź","Łódź","łódzkie"
"91-496","Łódź","Bałuty","Zgierska","219-231(n)","Łódź","Łódź","łódzkie"
"93-583","Łódź","Górna","Różana","28-DK","Łódź","Łódź","łódzkie"
"93-026","Łódź","Górna","Szenwalda Lucjana","","Łódź","Łódź","łódzkie"
"91-761","Łódź","Bałuty","Boya-Żeleńskiego Tadeusza","2-8a(p)","Łódź","Łódź","łódzkie"
"91-171","Łódź","Bałuty","Kąkolowa","","Łódź","Łódź","łódzkie"
"90-410","Łódź","Śródmieście","Piotrkowska","25-45(n)","Łódź","Łódź","łódzkie"
"92-535","Łódź","Widzew","Adwentowicza Karola","25-DK(n)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"92-007","Łódź","Widzew","Jędrowizna","","Łódź","Łódź","łódzkie"
"93-451","Łódź","Górna","Orłowska","","Łódź","Łódź","łódzkie"
"94-275","Łódź","Polesie","Piechura","","Łódź","Łódź","łódzkie"
"94-224","Łódź","Polesie","Tobruk","1-9(n), 2-DK(p)","Łódź","Łódź","łódzkie"
"92-119","Łódź","Widzew","Pisarska","","Łódź","Łódź","łódzkie"
"93-115","Łódź","Widzew","Tatrzańska","1-15(n), 2-24(p)","Łódź","Łódź","łódzkie"
"91-527","Łódź","Bałuty","Łupkowa","5-DK","Łódź","Łódź","łódzkie"
"91-364","Łódź","Bałuty","Zgierska","242-256(p)","Łódź","Łódź","łódzkie"
"93-403","Łódź","Górna","Rtęciowa","","Łódź","Łódź","łódzkie"
"93-480","Łódź","Górna","Szkoły Orląt","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-764","Łódź","Bałuty","Bracka","23-25(n)","Łódź","Łódź","łódzkie"
"91-219","Łódź","Bałuty","Kieratowa","","Łódź","Łódź","łódzkie"
"90-457","Łódź","Śródmieście","Piotrkowska","265-283(n)","Łódź","Łódź","łódzkie"
"92-536","Łódź","Widzew","Adwentowicza Karola","2-8(p)","Łódź","Łódź","łódzkie"
"92-204","Łódź","Widzew","Józefa","1-7","Łódź","Łódź","łódzkie"
"93-363","Łódź","Górna","Osobliwa","","Łódź","Łódź","łódzkie"
"94-121","Łódź","Polesie","Piłkarska","","Łódź","Łódź","łódzkie"
"94-048","Łódź","Polesie","Tomaszewicza Wincentego","","Łódź","Łódź","łódzkie"
"93-222","Łódź","Widzew","""Piwnika Ponurego Jana (Majora Jana Piwnika """"Ponurego"""")""","","Łódź","Łódź","łódzkie"
"93-118","Łódź","Widzew","Tatrzańska","17-19(n), 26-28(p)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-349","Łódź","Bałuty","Mackiewicza Antoniego","9-DK","Łódź","Łódź","łódzkie"
"91-303","Łódź","Bałuty","Zgierska","54-104a(p)","Łódź","Łódź","łódzkie"
"93-463","Łódź","Górna","Ruczajowa","","Łódź","Łódź","łódzkie"
"93-469","Łódź","Górna","Szkutnicza","","Łódź","Łódź","łódzkie"
"91-717","Łódź","Bałuty","Bracka","47-DK","Łódź","Łódź","łódzkie"
"91-612","Łódź","Bałuty","Kierpcowa","","Łódź","Łódź","łódzkie"
"90-413","Łódź","Śródmieście","Piotrkowska","47-63(n)","Łódź","Łódź","łódzkie"
"92-003","Łódź","Widzew","Alpejska","","Łódź","Łódź","łódzkie"
"92-207","Łódź","Widzew","Józefa","8-16","Łódź","Łódź","łódzkie"
"93-542","Łódź","Górna","Oświęcimska","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"94-281","Łódź","Polesie","Pisankowa","","Łódź","Łódź","łódzkie"
"94-101","Łódź","Polesie","Trójskok","","Łódź","Łódź","łódzkie"
"92-440","Łódź","Widzew","Podbipięty Longinusa","","Łódź","Łódź","łódzkie"
"93-279","Łódź","Widzew","Tatrzańska","71-75(n)","Łódź","Łódź","łódzkie"
"91-614","Łódź","Bałuty","Magnoliowa","","Łódź","Łódź","łódzkie"
"91-465","Łódź","Bałuty","Zgierska","75-105(n)","Łódź","Łódź","łódzkie"
"93-423","Łódź","Górna","Rudzka","33/35-65(n), 58-98(p)","Łódź","Łódź","łódzkie"
"93-480","Łódź","Górna","Szybowcowa","","Łódź","Łódź","łódzkie"
"91-745","Łódź","Bałuty","Brauna Mieczysława","","Łódź","Łódź","łódzkie"
"91-421","Łódź","Bałuty","Kilińskiego Jana","1-9","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"90-423","Łódź","Śródmieście","Piotrkowska","77-95(n)","Łódź","Łódź","łódzkie"
"92-732","Łódź","Widzew","Amarantowa","","Łódź","Łódź","łódzkie"
"92-109","Łódź","Widzew","Junacka","","Łódź","Łódź","łódzkie"
"93-410","Łódź","Górna","Pabianicka","128-178(p)","Łódź","Łódź","łódzkie"
"94-213","Łódź","Polesie","Pługowa","1-19","Łódź","Łódź","łódzkie"
"94-329","Łódź","Polesie","Turniejowa","","Łódź","Łódź","łódzkie"
"92-223","Łódź","Widzew","Pograniczna","","Łódź","Łódź","łódzkie"
"92-518","Łódź","Widzew","Techniczna","","Łódź","Łódź","łódzkie"
"91-851","Łódź","Bałuty","Malarska","","Łódź","Łódź","łódzkie"
"91-836","Łódź","Bałuty","Zielna","10-DK(p)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-438","Łódź","Górna","Rudzka","67-149(n), 100-176(p)","Łódź","Łódź","łódzkie"
"93-244","Łódź","Górna","Szymańskiego Edwarda","","Łódź","Łódź","łódzkie"
"91-849","Łódź","Bałuty","Brudzińskiego Józefa","","Łódź","Łódź","łódzkie"
"91-117","Łódź","Bałuty","Klaretyńska","","Łódź","Łódź","łódzkie"
"90-103","Łódź","Śródmieście","Piotrkowska","86-98(p)","Łódź","Łódź","łódzkie"
"92-219","Łódź","Widzew","Antoniewska","","Łódź","Łódź","łódzkie"
"92-306","Łódź","Widzew","Jurczyńskiego Juliusza","","Łódź","Łódź","łódzkie"
"93-457","Łódź","Górna","Pabianicka","215-255(n), 224-302(p)","Łódź","Łódź","łódzkie"
"93-240","Łódź","Górna","Przyjacielska","1-8","Łódź","Łódź","łódzkie"
"94-234","Łódź","Polesie","Podchorążych","1-97(n), 2-130(p)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"94-021","Łódź","Polesie","Unii Lubelskiej Al.","1-5(n)","Łódź","Łódź","łódzkie"
"92-774","Łódź","Widzew","Pomarańczowa","","Łódź","Łódź","łódzkie"
"92-016","Łódź","Widzew","Telefoniczna","25-71(n), 30-66(p)","Łódź","Łódź","łódzkie"
"91-328","Łódź","Bałuty","Malborska","","Łódź","Łódź","łódzkie"
"91-817","Łódź","Bałuty","Zielna","1-DK(n), 2-8(p)","Łódź","Łódź","łódzkie"
"93-368","Łódź","Górna","Rycerska","","Łódź","Łódź","łódzkie"
"93-018","Łódź","Górna","Szymonowicza Szymona","","Łódź","Łódź","łódzkie"
"91-341","Łódź","Bałuty","Brukowa","","Łódź","Łódź","łódzkie"
"91-521","Łódź","Bałuty","Klasyczna","","Łódź","Łódź","łódzkie"
"90-116","Łódź","Śródmieście","PKP Fabryczna Dworzec","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"92-411","Łódź","Widzew","Augustów","","Łódź","Łódź","łódzkie"
"92-237","Łódź","Widzew","Kazimierza","","Łódź","Łódź","łódzkie"
"93-506","Łódź","Górna","Pabianicka","23-45(n)","Łódź","Łódź","łódzkie"
"93-636","Łódź","Górna","Przyjacielska","9-DK","Łódź","Łódź","łódzkie"
"90-619","Łódź","Polesie","Pogonowskiego Stefana (Kapitana Stefana Pogonowskiego)","49-75","Łódź","Łódź","łódzkie"
"94-284","Łódź","Polesie","Upominkowa","","Łódź","Łódź","łódzkie"
"92-783","Łódź","Widzew","Pomidorowa","","Łódź","Łódź","łódzkie"
"92-101","Łódź","Widzew","Telefoniczna","68-76(p), 73-73a","Łódź","Łódź","łódzkie"
"91-043","Łódź","Bałuty","Malinowa","","Łódź","Łódź","łódzkie"
"91-210","Łódź","Bałuty","Ziemniaczana","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-431","Łódź","Górna","Rzeczowa","","Łódź","Łódź","łódzkie"
"93-155","Łódź","Górna","Śląska","1-21(n), 2-60(p)","Łódź","Łódź","łódzkie"
"91-183","Łódź","Bałuty","Brukselska","","Łódź","Łódź","łódzkie"
"91-156","Łódź","Bałuty","Klinowa","","Łódź","Łódź","łódzkie"
"90-116","Łódź","Śródmieście","PKS Fabryczna Dworzec","","Łódź","Łódź","łódzkie"
"92-413","Łódź","Widzew","Bacewicz Grażyny","","Łódź","Łódź","łódzkie"
"92-638","Łódź","Widzew","Kątna","","Łódź","Łódź","łódzkie"
"93-513","Łódź","Górna","Pabianicka","26-62a(p)","Łódź","Łódź","łódzkie"
"93-440","Łódź","Górna","Przyjemna","","Łódź","Łódź","łódzkie"
"94-230","Łódź","Polesie","Poniatowskiego Józefa (Księcia Józefa Poniatowskiego)","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"94-325","Łódź","Polesie","Weteranów","","Łódź","Łódź","łódzkie"
"92-010","Łódź","Widzew","Pomorska","296-340(p), 311-415(n)","Łódź","Łódź","łódzkie"
"92-115","Łódź","Widzew","Telefoniczna","75-DK(n), 78-DK(p)","Łódź","Łódź","łódzkie"
"91-479","Łódź","Bałuty","Malwowa","7-DK(n), 12-DK(p)","Łódź","Łódź","łódzkie"
"91-172","Łódź","Bałuty","Zimna Woda","","Łódź","Łódź","łódzkie"
"93-172","Łódź","Górna","Rzgowska","10-66(p)","Łódź","Łódź","łódzkie"
"93-257","Łódź","Górna","Śląska","23-43(n), 72a-82(p)","Łódź","Łódź","łódzkie"
"91-495","Łódź","Bałuty","Brzegowa","","Łódź","Łódź","łódzkie"
"91-039","Łódź","Bałuty","Klonowa","2-42(p)","Łódź","Łódź","łódzkie"
"90-243","Łódź","Śródmieście","Pokoju Pl.","1-2","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"92-123","Łódź","Widzew","Bachledy Klimka","","Łódź","Łódź","łódzkie"
"92-104","Łódź","Widzew","Kerna Andrzeja","","Łódź","Łódź","łódzkie"
"93-548","Łódź","Górna","Pabianicka","47-67(n), 64-100(p)","Łódź","Łódź","łódzkie"
"93-345","Łódź","Górna","Przyrzeczna","","Łódź","Łódź","łódzkie"
"90-554","Łódź","Polesie","Poniatowskiego Józefa Park (Księcia Józefa Poniatowskiego)","","Łódź","Łódź","łódzkie"
"90-734","Łódź","Polesie","Więckowskiego Stanisława (Pułkownika Doktora Stanisława Więckowskiego)","33-43(n), 36-46(p)","Łódź","Łódź","łódzkie"
"92-735","Łódź","Widzew","Pomorska","342-DK(p), 417-DK(n)","Łódź","Łódź","łódzkie"
"92-236","Łódź","Widzew","Teodora","","Łódź","Łódź","łódzkie"
"91-505","Łódź","Bałuty","Marczyńskich Kazimiery i Jana","","Łódź","Łódź","łódzkie"
"91-364","Łódź","Bałuty","Ziołowa","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-367","Łódź","Górna","Rzgowska","125-129(n)","Łódź","Łódź","łódzkie"
"93-237","Łódź","Górna","Śląska","45-DK(n), 84-DK(p)","Łódź","Łódź","łódzkie"
"91-365","Łódź","Bałuty","Brzoskwiniowa","","Łódź","Łódź","łódzkie"
"91-230","Łódź","Bałuty","Kłosowa","","Łódź","Łódź","łódzkie"
"90-227","Łódź","Śródmieście","Pokoju Pl.","3-DK","Łódź","Łódź","łódzkie"
"92-540","Łódź","Widzew","Bartoka Beli","43-45(n)","Łódź","Łódź","łódzkie"
"92-431","Łódź","Widzew","Ketlinga","","Łódź","Łódź","łódzkie"
"93-486","Łódź","Górna","Pabianicka","69-87(n), 102-126(p)","Łódź","Łódź","łódzkie"
"93-473","Łódź","Górna","Przystań","","Łódź","Łódź","łódzkie"
"94-334","Łódź","Polesie","Pontonowa","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"90-747","Łódź","Polesie","Więckowskiego Stanisława (Pułkownika Doktora Stanisława Więckowskiego)","53-71(n)","Łódź","Łódź","łódzkie"
"90-328","Łódź","Widzew","Popowskiego Stanisława","","Łódź","Łódź","łódzkie"
"92-612","Łódź","Widzew","Tołstoja Lwa","","Łódź","Łódź","łódzkie"
"91-610","Łódź","Bałuty","Marmurowa","","Łódź","Łódź","łódzkie"
"91-804","Łódź","Bałuty","Złotnicza","1-DK(n)","Łódź","Łódź","łódzkie"
"93-002","Łódź","Górna","Rzgowska","1-5(n), 2-8(p)","Łódź","Łódź","łódzkie"
"93-281","Łódź","Górna","Śmigłego-Rydza Edwarda Al. (Marszałka Edwarda Śmigłego-Rydza)","20-28(p), 21","Łódź","Łódź","łódzkie"
"91-321","Łódź","Bałuty","Brzóski Stanisława (Księdza Stanisława Brzóski)","32-34, 34a-48(p), 47-65(n)","Łódź","Łódź","łódzkie"
"91-347","Łódź","Bałuty","Kniaziewicza Karola (Generała Karola Kniaziewicza)","","Łódź","Łódź","łódzkie"
"90-123","Łódź","Śródmieście","Polskiej Organizacji Wojskowej","33-DK","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"92-530","Łódź","Widzew","Bartoka Beli","71-DK(n)","Łódź","Łódź","łódzkie"
"92-433","Łódź","Widzew","Kmicica Andrzeja","","Łódź","Łódź","łódzkie"
"93-509","Łódź","Górna","Paderewskiego Ignacego","2-22(p), 21-31(n)","Łódź","Łódź","łódzkie"
"93-552","Łódź","Górna","Przyszkole","11-DK(n), 26-44/56(p)","Łódź","Łódź","łódzkie"
"94-053","Łódź","Polesie","Popiełuszki Jerzego (Księdza Jerzego Popiełuszki)","32-DK(p), 37-DK(n)","Łódź","Łódź","łódzkie"
"90-748","Łódź","Polesie","Więckowskiego Stanisława (Pułkownika Doktora Stanisława Więckowskiego)","66-72(p)","Łódź","Łódź","łódzkie"
"92-111","Łódź","Widzew","Powstańców Śląskich","","Łódź","Łódź","łódzkie"
"92-409","Łódź","Widzew","Trakcyjna","","Łódź","Łódź","łódzkie"
"91-850","Łódź","Bałuty","Marynarska","39-DK(n), 56-DK(p)","Łódź","Łódź","łódzkie"
"91-719","Łódź","Bałuty","Zmienna","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-317","Łódź","Górna","Rzgowska","196-242(p), 207-247(n)","Łódź","Łódź","łódzkie"
"93-280","Łódź","Górna","Śmigłego-Rydza Edwarda Al. (Marszałka Edwarda Śmigłego-Rydza)","41, 62-78(p)","Łódź","Łódź","łódzkie"
"91-324","Łódź","Bałuty","Brzóski Stanisława (Księdza Stanisława Brzóski)","73, 84-86(p)","Łódź","Łódź","łódzkie"
"91-469","Łódź","Bałuty","Kochanowskiego Jana","","Łódź","Łódź","łódzkie"
"90-202","Łódź","Śródmieście","Pomorska","11-29(n)","Łódź","Łódź","łódzkie"
"92-301","Łódź","Widzew","Batorego Stefana","1-13","Łódź","Łódź","łódzkie"
"92-117","Łódź","Widzew","Kmiecia","","Łódź","Łódź","łódzkie"
"93-523","Łódź","Górna","Paderewskiego Ignacego","33-51(n)","Łódź","Łódź","łódzkie"
"93-549","Łódź","Górna","Przyszkole","2-24(p)","Łódź","Łódź","łódzkie"
"94-203","Łódź","Polesie","Praussa Ksawerego","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"94-029","Łódź","Polesie","Wileńska","2-32(p), 37","Łódź","Łódź","łódzkie"
"92-109","Łódź","Widzew","Prezydenta","","Łódź","Łódź","łódzkie"
"92-403","Łódź","Widzew","Tranzytowa","","Łódź","Łódź","łódzkie"
"91-802","Łódź","Bałuty","Marysińska","1-34","Łódź","Łódź","łódzkie"
"91-735","Łódź","Bałuty","Źródłowa","","Łódź","Łódź","łódzkie"
"93-160","Łódź","Górna","Rzgowska","68-76(p)","Łódź","Łódź","łódzkie"
"93-272","Łódź","Górna","Śmigłego-Rydza Edwarda Al. (Marszałka Edwarda Śmigłego-Rydza)","43-DK(n)","Łódź","Łódź","łódzkie"
"91-481","Łódź","Bałuty","Bukowa","","Łódź","Łódź","łódzkie"
"91-849","Łódź","Bałuty","Kolińskiego Józefa (Doktora Józefa Kolińskiego)","","Łódź","Łódź","łódzkie"
"91-403","Łódź","Śródmieście","Pomorska","114-136(p)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"92-322","Łódź","Widzew","Bawełniana","","Łódź","Łódź","łódzkie"
"92-514","Łódź","Widzew","Kolbego Maksymiliana Al. (Świętego Maksymiliana Kolbego)","","Łódź","Łódź","łódzkie"
"93-359","Łódź","Górna","Pałacowa","","Łódź","Łódź","łódzkie"
"93-439","Łódź","Górna","Purpurowa","","Łódź","Łódź","łódzkie"
"94-312","Łódź","Polesie","Prochowa","","Łódź","Łódź","łódzkie"
"94-016","Łódź","Polesie","Wileńska","39-69(n)","Łódź","Łódź","łódzkie"
"92-643","Łódź","Widzew","Przedszkolna","","Łódź","Łódź","łódzkie"
"92-704","Łódź","Widzew","Trzykrotki","","Łódź","Łódź","łódzkie"
"91-854","Łódź","Bałuty","Marysińska","90-90d","Łódź","Łódź","łódzkie"
"91-219","Łódź","Bałuty","Żabieniec","56-DK(p), 63-DK(n)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-469","Łódź","Górna","Sanitariuszek","","Łódź","Łódź","łódzkie"
"93-368","Łódź","Górna","Średnia","","Łódź","Łódź","łódzkie"
"91-531","Łódź","Bałuty","Bursztynowa","","Łódź","Łódź","łódzkie"
"91-232","Łódź","Bałuty","Kompostowa","","Łódź","Łódź","łódzkie"
"90-236","Łódź","Śródmieście","Pomorska","141-185(n)","Łódź","Łódź","łódzkie"
"91-612","Łódź","Widzew","Beskidzka","1-38","Łódź","Łódź","łódzkie"
"92-648","Łódź","Widzew","Kolorowa","","Łódź","Łódź","łódzkie"
"93-345","Łódź","Górna","Paradna","1-60, 64-68(p)","Łódź","Łódź","łódzkie"
"93-466","Łódź","Górna","Pusta","","Łódź","Łódź","łódzkie"
"90-713","Łódź","Polesie","Próchnika Adama","34-DK(p)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"94-036","Łódź","Polesie","Wioślarska","","Łódź","Łódź","łódzkie"
"90-034","Łódź","Widzew","Przędzalniana","1-25","Łódź","Łódź","łódzkie"
"92-237","Łódź","Widzew","Tunelowa","","Łódź","Łódź","łódzkie"
"91-849","Łódź","Bałuty","Marysińska","91-DK(n)","Łódź","Łódź","łódzkie"
"91-474","Łódź","Bałuty","Żarnowcowa","1-7(n), 2-10(p)","Łódź","Łódź","łódzkie"
"93-031","Łódź","Górna","Sanocka","2-36(p)","Łódź","Łódź","łódzkie"
"93-351","Łódź","Górna","Świecka","","Łódź","Łódź","łódzkie"
"91-728","Łódź","Bałuty","Bystrzycka","","Łódź","Łódź","łódzkie"
"91-166","Łódź","Bałuty","Komputerowa","","Łódź","Łódź","łódzkie"
"90-201","Łódź","Śródmieście","Pomorska","1-9(n)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-610","Łódź","Widzew","Beskidzka","79-DK(n), 82-DK(p)","Łódź","Łódź","łódzkie"
"92-622","Łódź","Widzew","Konfederatów Barskich","","Łódź","Łódź","łódzkie"
"93-015","Łódź","Górna","Piaseczna","","Łódź","Łódź","łódzkie"
"93-479","Łódź","Górna","Pustynna","","Łódź","Łódź","łódzkie"
"94-045","Łódź","Polesie","Przełajowa","1-DK(n)","Łódź","Łódź","łódzkie"
"94-113","Łódź","Polesie","Władysława Króla","59-DK(n), 74-DK(p)","Łódź","Łódź","łódzkie"
"93-279","Łódź","Widzew","Przędzalniana","152-DK(p), 175-DK(n)","Łódź","Łódź","łódzkie"
"92-309","Łódź","Widzew","Turza","","Łódź","Łódź","łódzkie"
"91-851","Łódź","Bałuty","Marysińska","92-DK(p)","Łódź","Łódź","łódzkie"
"91-479","Łódź","Bałuty","Żarnowcowa","9-DK(n), 12-DK(p)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-010","Łódź","Górna","Sanocka","38-DK(p)","Łódź","Łódź","łódzkie"
"93-485","Łódź","Górna","Świętego Franciszka z Asyżu","1-24","Łódź","Łódź","łódzkie"
"91-480","Łódź","Bałuty","Bzowa","","Łódź","Łódź","łódzkie"
"91-493","Łódź","Bałuty","Konarowa","","Łódź","Łódź","łódzkie"
"91-422","Łódź","Śródmieście","Pomorska","22-28(p)","Łódź","Łódź","łódzkie"
"92-223","Łódź","Widzew","Białoruska","","Łódź","Łódź","łódzkie"
"92-203","Łódź","Widzew","Konstytucyjna","42-DK(p), 47-DK(n)","Łódź","Łódź","łódzkie"
"93-229","Łódź","Górna","Piechala Mariana","","Łódź","Łódź","łódzkie"
"93-130","Łódź","Górna","Radomska","","Łódź","Łódź","łódzkie"
"91-089","Łódź","Polesie","Włókniarzy Al.","178-198(p), 183-189(n)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"90-030","Łódź","Widzew","Przędzalniana","38-42(p)","Łódź","Łódź","łódzkie"
"90-348","Łódź","Widzew","Tylna","5-8","Łódź","Łódź","łódzkie"
"91-180","Łódź","Bałuty","Masłochów Lone i Lucjana","","Łódź","Łódź","łódzkie"
"91-504","Łódź","Bałuty","Żucza","","Łódź","Łódź","łódzkie"
"93-357","Łódź","Górna","Sarmacka","16-DK(p), 19-DK(n)","Łódź","Łódź","łódzkie"
"93-463","Łódź","Górna","Świętojańska","16-20(p), 23-29(n)","Łódź","Łódź","łódzkie"
"91-867","Łódź","Bałuty","Cała","","Łódź","Łódź","łódzkie"
